offline_comment_id,class_id,user_id,offline_comment_content
1,1,554,포장은 어떻게 되나용?
2,1,555,컬러 줄 두개 표시 가능한가요?? ㅇㅅㅇ
3,1,556,뒷 배경을 검정색으로 바꿀 수는 없나요? 글씨색을 흰색으로 하고 이런식으로요 !
4,2,557,안녕하세요 혹시 23개 주문도 가능한가요??
5,2,558,답변 감사합니다 그렇다면 혹시 23개에 각각 이름과 멘트를 넣을 예정인데 가능한가요?? 추가 금액은 없는건지 궁금합니다!!
6,2,559,한문으로도 각인가능한가요?
7,2,560,오늘주문하면 2/5 출고가능하실까요?
8,2,561,"한 면에 영어, 한글 같이 적어도 되나요?"
9,2,562,안녕하세요 오늘 내일 주문하면 혹시 언제즘 받을 수 있나요?
10,2,563,아아 답변감사합니다 그래도 오늘 주문하면 한 며칠안에는 배송이된다는 말씀이시죠?
11,2,564,13일에 주문했는데..혹시 언제 받을수 있을까요? 선물을 해야하는거라서요..
12,2,565,폰트크키 / 포장상자 크기 알 수 있을까요??
13,2,566,"작가님, 19일(금요일)에 주문하면 언제 받을 수 있을까요?"
14,3,567,와..완전화려삐까뻔떡 한게 제스탈이에요...꼭 사야겠어요
15,3,568,혹시 귤팩토리? 여기랑 같은업체아니죠?
16,3,569,아하 감사합니다^^!!
17,3,570,"질문있는데요,, 혹시 귓바퀴부분 왼쪽만 피어싱으로 변경도 가능한가요...?"
18,3,571,우와아....ㅠㅠ아직 귀 못뚫었는데 뚫고싶게 만드는 비주얼...ㅠㅠ 너무 이쁘네요♡♡!!!!
19,3,572,귓볼쪽에 따로 고정시키는 볼같은건 없는건가요? 뭔가 불안불안해서요 ㅠㅠㅠ
20,3,573,혹시 체인 없는 버전도 있을까요??
21,3,574,사고는 싶은데... 엄마가 사지말래요ㅠㅠㅠ
22,3,575," 오른쪽이나 왼쪽에 이 제품 착용하고, 안낀쪽에 어울리는 귀걸이나 디자인 추천가능할까요..?  "
23,3,576,"아아앗.. 나빌ㅇ레라 찾아봤는데 많이 화려할것같은데, 이 제품 단독으로 착용해도 이상하지않을까요ㅠㅠ? 그리구 같이 착용해도 많이 안화려할까요? "
24,4,577,"안녕하세요, 혹시 원단 재질을 알 수 있을까요?"
25,4,578,키링 추가 옵션은 어떻게 추가되는건가요~?
26,4,579,키링추가옵션 이미지 볼수있을까요?
27,4,580,이걸로 반지갑은 안나오려나요?
28,4,581,다크브라운블루는 입고 안되나요..?
29,4,582,다크브라운블루 재입고 알 수 있을까요~~?
30,4,583,메세지 확인좀 해주세요!!!
31,4,584,민트퍼플 언제 입고될까요ㅜㅜ
32,4,585,오렌지민트언제쯤 주문 가능할까요
33,5,586,안녕하세요. 아이폰 7 범퍼케이스 가능한가요? :]
34,5,587,갤럭시 S9플러스 가능한가요?
35,5,588,LG Q9 도가능한가요?
36,5,589,안녕하세요~ 갤럭시 Jean2 기종 가능한가용?
37,5,590,아이폰12pro 범퍼케이스 카드 2장 수납 가능한가요?
38,5,591,아이폰 12미니 사용 중인데요. 케이스 없이 카드포켓만 구매하면 부착할 수 있나요? 포켓 사이즈를 보니 애매해서 문의드립니다.
39,5,592,같이 있는 에어팟 케이스는 어디서 구매하나요? 프로에요
40,5,593,a31갤럭시 되나요
41,5,594,그립톡 자석 가능한가용
42,5,595,카드케이스 접착 3M인가요? 그냥 쌩 휴대폰에 붙이려고하는데 나중에 떼어도 끈끈이 안남을까요?
43,6,596,오늘 주문하면 10일까지 받을수 있을까요?
44,6,597,오늘주문하면 언제 받을수 있나요~~~?
45,6,598,안녕하세요 지금 주문하면 제일 빨리 언제받을수있나요?
46,6,599,혹시 지금 시키면 12일 전에 받을 수 있을까요?ㅜㅜ
47,6,600,오늘주문시 늦어도 목요일에 받을수있을까요ㅠㅠㅠ
48,6,601,아직 수령일이 많이 남아서 주문은 하지 않았는데 혹시 픽업하게 된다면 장소가 어디인지 알 수 있을까용??
49,6,602,안녕하세요. 오늘 4개 주문하면 내일이나 수요일 아침에 받을수 있을까요😢
50,6,603,제가 수령해서 택배로 보내주려고 하는데 괜찮을까요?
51,6,604,안녕하세요 혹시 17일날 수령은  마감된건가요?
52,6,605,22일날 수령은 안되나요?
53,7,606,"작가님 오늘 가방 받았는데 정말 만족스러웠어요!! 특히 생각했던것 보다 사이즈도 크고 부드러운 천이지만 전혀 약한것 같지 않아 오래 쓸 수 있을것 같아 좋았어요ㅎㅎ
상자 딱 열었을 때 에코백에서 나는 향기가 너무 좋은데 어떤 향수 쓰셨는지 알 수 있을까요? 그리고 또 구매하게 된다면 크로스끈 추가할 수 있는지 궁금합니다!"
54,7,607,작가님 안녕하세요 쇼핑백 s 랑 L 차이는 뭔가요? 둘다 가방이 들어가긴하는거죠?
55,7,608,작가님 안녕하세요 저두 에코백 종류별 차이가 궁금합니다!
56,7,609,혹시 생활방수가 되나요?
57,7,610,안녕하세요! 친구가 이 제품을 생일선물로 줘서 잘 쓰고있어요! 쓸때마다 좋은향이나서 너무 궁금했거든요..! 혹시 알려주실수있나요??
58,7,611,"작가님, 주문한 가방 잘 받았습니다~>_<
진짜 가방에서 향기가 나네요!!♡3♡
어떤 향기인지, 어떤 제품인지 알려주실 수 있을까요??😭😭
"
59,7,612,저도 종류별 차이랑 흐물흐물한 재질인지 문의드려요
60,7,613,17인치 노트북은 안 들어갈까요? 세로로 들어가도 됩니다
61,7,614,15인치 노트북 들어가는 크기면 A4사이즈도 들어가는거 맞죠?!
62,7,615,A4 사이즈가 들어가는지 궁금하네요!
63,8,616,워터쉐이크를 안해도 상관없나요?
64,8,617,알파벳 문구를 작성하는 칸은 어디있나요??
65,9,618,일본어사용 지양해주세요ㅠㅠ오니기리xxxxx
66,9,619,중간에 오니기리..수정 안됐어요....ㅠ
67,9,620,정말 짭짤하게 생겼네요! 동그라미 모양으로 나와도 정말 귀여울것 같아요ㅠㅠ
68,9,621,간장맛은 왕삼각김밥 사이즈로 제작 않되나요?ㅠ.ㅠ
69,9,622,일반 사이즈에 갤럭시 버즈 들어가겠죠?
70,10,623,문구는 몇 자까지 되나요?
71,10,624,작가님 안녕하세요 z플립 혹시 젤리 케이스도 있을까요?
72,10,625,2월 1일에 주문했는데 언제쯤 배송되는지 알수 있을까요??
73,10,626,지금 주문하면 설 전에 못 받아 보나요??ㅠ
74,10,627,1월28일날 주문했는데 언제쯤 받을수 있을까요?혹시 설날지나서 받냐요?
75,10,628,블랙도 젤리케이스가 있나요 ?
76,10,629,1월 28일 주문했는데 배송 시작되었을까요?
77,10,630,Galaxy A30 가능한가요?
78,10,631,작가님 혹시 샤오미 홍미노트8프로 기종도 제작 가능할까요?????
79,10,632,2월15일 주문했는데 언제 받을 수 있을까요?
80,11,633,생소세지랑 매콤 소세지 같이 주문하려고하는데 어떻게 주문해야ㅘ나요
81,11,634,장바구니에 담아  주문하심 됩니다^^
82,11,635,선물하려하는데 혹시 택배에 보관방법 조리방법 적힌 종이같은게 같이 배송되나요???
83,11,636,선물로 여러개주문하려는데 전화문의는 안되나요~~
84,11,637,해동상태에서는 유통기한이 어느정도될가요?
85,11,638,어디 택배로 보내시나요?
86,11,639,방금택배받았는데 소세지는안오고 스테이크만왔는데 배송이따로오나요?
87,11,640,23일주문했는데 28일오늘까지 배송하지도않고...
88,11,641,지금 주문하면 언제쯤 받을수있을까요?지금 주문하려는데  배송이 얼마나 걸리는지 알아야 주문을 할수 있을것 같아서요 빠른 답변 부탁드려요
89,11,642,한팩에 몇개 들어있나요??
90,12,643,주소변경건으로 메세지 드렸습니다! 확인 부탁드려요
91,12,644,부산은 주문할수있나요?
92,12,645,비엔나소시지 대신 어묵채소볶음으로 주시면 감사하겠습니다
93,12,646,배송이 얼마나 걸리나요? 혹시 설때문에 하루배송 안되나 해서요
94,12,647,시래기된장 다른 반찬으로 바꿀 수 있나요??
95,12,648,2/4도착으로 주문했는데 당일 오후 7시 25분까지도 받지 못했습니다. 혹시 반찬이 상하거나 할때에는 어떻게 합니까.?
96,12,649,오늘 업뎃 된다 되어있는데 언제 업뎃되나요?
97,12,650,"어떻게 주문하는건가요?
매주 반찬이 바뀌는건가요?
A세트가 일주일마다 변동된다는건가요?
자세한 설명이 부족해서요ㅠ
새벽배송은 배송비에서 추가천원 더 있다는거죠?"
98,12,651,"주문했어요
무말랭이무침을 미역줄기볶음으로 교체희망합니다."
99,12,652,소세지주먹밥 두개는 못시키나요?
100,13,653,너무 간편하고 맛있게 먹었습니다~ 완제품 국을 이렇게 간편하게 먹을수있다니 좋아요 입점기념할인까지~ㅎ 1인가구는 2번이상 먹을 양이라서 넉넉하니 좋아요 ㅎ
101,13,654,국밥을 좋아해서 ~ 지금까지 가장 정성과 맛이 담긴 이조곰탕만 먹었는데 가격은 3배정도 맛에 걸 맞게 비쌉니다. 이 번에  한우 우거지국밥을 우연히 구매 맛을 보고 깜짝 놀랐읍니다.  이 정도  맛과 정성이 느껴지고  가격까지 낮다니 깜짝 놀랐읍니다. 저는 부산에서 사업하는 사람이라  아침을 꼭 먹는 관계로  주위 분들께 강추할 생각입니다.  좋은 음식 맛있게 먹었읍니다.. 계속 품질을 유지해 주세요~~^
102,13,655,ㅎㅎ 지금 두 지인들 한테 다섯팩씩 권유한다고 주문했읍니댜
103,13,656,한팩에 양이 어느정도 될까요?
104,13,657,15일에주문했는데 언제쯤 배송 될까요~?
105,13,658,연이님 댓글을 이제야 확인했네요. 받으셨지요? 연휴동안 주문이 몰려서 수제이다보니 생산양이 한계가 있어서 배송이 좀 늦었어요^^~ 맛있게 드셨으면 좋겠습니다^^
106,14,659,주소지 변경 메세지 드렸어요~ 확인부탁드려요
107,14,660,메세지 드렸는데 확인 부탁드립니다 :)
108,14,661,혹시 4~5명이서 먹을거면 2개 주문하는게 맞을까요 ??
